position,tuple,winProbability
front,"[1, 5, 3]",2.0
front,"[1, 5, 4]",2.0
front,"[1, 4, 2]",1.33
front,"[1, 4, 3]",1.33
front,"[1, 3, 2]",0.67
middle,"[10, 14]",100.0
middle,"[10, 13]",100.0
middle,"[10, 12]",100.0
middle,"[10, 11]",100.0
middle,"[10, 10]",100.0
middle,"[10, 9]",100.0
middle,"[10, 8]",100.0
middle,"[10, 7]",100.0
middle,"[10, 6]",100.0
middle,"[10, 5]",100.0
middle,"[10, 4]",100.0
middle,"[10, 3]",100.0
middle,"[10, 2]",100.0
middle,"[9, 14, 13]",99.9
middle,"[9, 14, 5]",99.9
middle,"[9, 13, 12]",99.9
middle,"[9, 12, 11]",99.9
middle,"[9, 11, 10]",99.9
middle,"[9, 10, 9]",99.9
middle,"[9, 9, 8]",99.9
middle,"[9, 8, 7]",99.9
middle,"[9, 7, 6]",99.9
middle,"[9, 6, 5]",99.9
middle,"[9, 5, 4]",99.9
middle,"[8, 14, 13]",99.799
middle,"[8, 14, 12]",99.798
middle,"[8, 14, 11]",99.797
middle,"[8, 14, 10]",99.796
middle,"[8, 14, 9]",99.795
middle,"[8, 14, 8]",99.794
middle,"[8, 14, 7]",99.793
middle,"[8, 14, 6]",99.792
middle,"[8, 14, 5]",99.791
middle,"[8, 14, 4]",99.79
middle,"[8, 14, 3]",99.789
middle,"[8, 14, 2]",99.788
middle,"[8, 13, 14]",99.4
middle,"[8, 13, 12]",99.398
middle,"[8, 13, 11]",99.397
middle,"[8, 13, 10]",99.396
middle,"[8, 13, 9]",99.395
middle,"[8, 13, 8]",99.394
middle,"[8, 13, 7]",99.393
middle,"[8, 13, 6]",99.392
middle,"[8, 13, 5]",99.391
middle,"[8, 13, 4]",99.39
middle,"[8, 13, 3]",99.389
middle,"[8, 13, 2]",99.388
middle,"[8, 12, 14]",99.0
middle,"[8, 12, 13]",98.999
middle,"[8, 12, 11]",98.997
middle,"[8, 12, 10]",98.996
middle,"[8, 12, 9]",98.995
middle,"[8, 12, 8]",98.994
middle,"[8, 12, 7]",98.993
middle,"[8, 12, 6]",98.992
middle,"[8, 12, 5]",98.991
middle,"[8, 12, 4]",98.99
middle,"[8, 12, 3]",98.989
middle,"[8, 12, 2]",98.988
middle,"[8, 11, 14]",98.6
middle,"[8, 11, 13]",98.599
middle,"[8, 11, 12]",98.598
middle,"[8, 11, 10]",98.596
middle,"[8, 11, 9]",98.595
middle,"[8, 11, 8]",98.594
middle,"[8, 11, 7]",98.593
middle,"[8, 11, 6]",98.592
middle,"[8, 11, 5]",98.591
middle,"[8, 11, 4]",98.59
middle,"[8, 11, 3]",98.589
middle,"[8, 11, 2]",98.588
middle,"[8, 10, 14]",98.2
middle,"[8, 10, 13]",98.199
middle,"[8, 10, 12]",98.198
middle,"[8, 10, 11]",98.197
middle,"[8, 10, 9]",98.195
middle,"[8, 10, 8]",98.194
middle,"[8, 10, 7]",98.193
middle,"[8, 10, 6]",98.192
middle,"[8, 10, 5]",98.191
middle,"[8, 10, 4]",98.19
middle,"[8, 10, 3]",98.189
middle,"[8, 10, 2]",98.188
middle,"[8, 9, 14]",97.8
middle,"[8, 9, 13]",97.799
middle,"[8, 9, 12]",97.798
middle,"[8, 9, 11]",97.797
middle,"[8, 9, 10]",97.796
middle,"[8, 9, 8]",97.794
middle,"[8, 9, 7]",97.793
middle,"[8, 9, 6]",97.792
middle,"[8, 9, 5]",97.791
middle,"[8, 9, 4]",97.79
middle,"[8, 9, 3]",97.789
middle,"[8, 9, 2]",97.788
middle,"[8, 8, 14]",97.4
middle,"[8, 8, 13]",97.399
middle,"[8, 8, 12]",97.398
middle,"[8, 8, 11]",97.397
middle,"[8, 8, 10]",97.396
middle,"[8, 8, 9]",97.395
middle,"[8, 8, 7]",97.393
middle,"[8, 8, 6]",97.392
middle,"[8, 8, 5]",97.391
middle,"[8, 8, 4]",97.39
middle,"[8, 8, 3]",97.389
middle,"[8, 8, 2]",97.388
middle,"[8, 7, 14]",97.0
middle,"[8, 7, 13]",96.999
middle,"[8, 7, 12]",96.998
middle,"[8, 7, 11]",96.997
middle,"[8, 7, 10]",96.996
middle,"[8, 7, 9]",96.995
middle,"[8, 7, 8]",96.994
middle,"[8, 7, 6]",96.992
middle,"[8, 7, 5]",96.991
middle,"[8, 7, 4]",96.99
middle,"[8, 7, 3]",96.989
middle,"[8, 7, 2]",96.988
middle,"[8, 6, 14]",96.6
middle,"[8, 6, 13]",96.599
middle,"[8, 6, 12]",96.598
middle,"[8, 6, 11]",96.597
middle,"[8, 6, 10]",96.596
middle,"[8, 6, 9]",96.595
middle,"[8, 6, 8]",96.594
middle,"[8, 6, 7]",96.593
middle,"[8, 6, 5]",96.591
middle,"[8, 6, 4]",96.59
middle,"[8, 6, 3]",96.589
middle,"[8, 6, 2]",96.588
middle,"[8, 5, 14]",96.2
middle,"[8, 5, 13]",96.199
middle,"[8, 5, 12]",96.198
middle,"[8, 5, 11]",96.197
middle,"[8, 5, 10]",96.196
middle,"[8, 5, 9]",96.195
middle,"[8, 5, 8]",96.194
middle,"[8, 5, 7]",96.193
middle,"[8, 5, 6]",96.192
middle,"[8, 5, 4]",96.19
middle,"[8, 5, 3]",96.189
middle,"[8, 5, 2]",96.188
middle,"[8, 4, 14]",95.8
middle,"[8, 4, 13]",95.799
middle,"[8, 4, 12]",95.798
middle,"[8, 4, 11]",95.797
middle,"[8, 4, 10]",95.796
middle,"[8, 4, 9]",95.795
middle,"[8, 4, 8]",95.794
middle,"[8, 4, 7]",95.793
middle,"[8, 4, 6]",95.792
middle,"[8, 4, 5]",95.791
middle,"[8, 4, 3]",95.789
middle,"[8, 4, 2]",95.788
middle,"[8, 3, 14]",95.4
middle,"[8, 3, 13]",95.399
middle,"[8, 3, 12]",95.398
middle,"[8, 3, 11]",95.397
middle,"[8, 3, 10]",95.396
middle,"[8, 3, 9]",95.395
middle,"[8, 3, 8]",95.394
middle,"[8, 3, 7]",95.393
middle,"[8, 3, 6]",95.392
middle,"[8, 3, 5]",95.391
middle,"[8, 3, 4]",95.39
middle,"[8, 3, 2]",95.388
middle,"[8, 2, 14]",95.0
middle,"[8, 2, 13]",94.999
middle,"[8, 2, 12]",94.998
middle,"[8, 2, 11]",94.997
middle,"[8, 2, 10]",94.996
middle,"[8, 2, 9]",94.995
middle,"[8, 2, 8]",94.994
middle,"[8, 2, 7]",94.993
middle,"[8, 2, 6]",94.992
middle,"[8, 2, 5]",94.991
middle,"[8, 2, 4]",94.99
middle,"[8, 2, 3]",94.989
middle,"[7, 14, 2]",86.2
middle,"[7, 14, 3]",86.2
middle,"[7, 14, 4]",86.2
middle,"[7, 14, 5]",86.2
middle,"[7, 14, 6]",86.2
middle,"[7, 14, 7]",86.2
middle,"[7, 14, 8]",86.2
middle,"[7, 14, 9]",86.2
middle,"[7, 14, 10]",86.2
middle,"[7, 14, 11]",86.2
middle,"[7, 14, 12]",86.2
middle,"[7, 14, 13]",86.2
middle,"[7, 13, 2]",84.6
middle,"[7, 13, 3]",84.6
middle,"[7, 13, 4]",84.6
middle,"[7, 13, 5]",84.6
middle,"[7, 13, 6]",84.6
middle,"[7, 13, 7]",84.6
middle,"[7, 13, 8]",84.6
middle,"[7, 13, 9]",84.6
middle,"[7, 13, 10]",84.6
middle,"[7, 13, 11]",84.6
middle,"[7, 13, 12]",84.6
middle,"[7, 13, 14]",84.6
middle,"[7, 12, 2]",83.0
middle,"[7, 12, 3]",83.0
middle,"[7, 12, 4]",83.0
middle,"[7, 12, 5]",83.0
middle,"[7, 12, 6]",83.0
middle,"[7, 12, 7]",83.0
middle,"[7, 12, 8]",83.0
middle,"[7, 12, 9]",83.0
middle,"[7, 12, 10]",83.0
middle,"[7, 12, 11]",83.0
middle,"[7, 12, 13]",83.0
middle,"[7, 12, 14]",83.0
middle,"[7, 11, 2]",81.4
middle,"[7, 11, 3]",81.4
middle,"[7, 11, 4]",81.4
middle,"[7, 11, 5]",81.4
middle,"[7, 11, 6]",81.4
middle,"[7, 11, 7]",81.4
middle,"[7, 11, 8]",81.4
middle,"[7, 11, 9]",81.4
middle,"[7, 11, 10]",81.4
middle,"[7, 11, 12]",81.4
middle,"[7, 11, 13]",81.4
middle,"[7, 11, 14]",81.4
middle,"[7, 10, 2]",79.8
middle,"[7, 10, 3]",79.8
middle,"[7, 10, 4]",79.8
middle,"[7, 10, 5]",79.8
middle,"[7, 10, 6]",79.8
middle,"[7, 10, 7]",79.8
middle,"[7, 10, 8]",79.8
middle,"[7, 10, 9]",79.8
middle,"[7, 10, 11]",79.8
middle,"[7, 10, 12]",79.8
middle,"[7, 10, 13]",79.8
middle,"[7, 10, 14]",79.8
middle,"[7, 9, 2]",78.2
middle,"[7, 9, 3]",78.2
middle,"[7, 9, 4]",78.2
middle,"[7, 9, 5]",78.2
middle,"[7, 9, 6]",78.2
middle,"[7, 9, 7]",78.2
middle,"[7, 9, 8]",78.2
middle,"[7, 9, 10]",78.2
middle,"[7, 9, 11]",78.2
middle,"[7, 9, 12]",78.2
middle,"[7, 9, 13]",78.2
middle,"[7, 9, 14]",78.2
middle,"[7, 8, 2]",76.6
middle,"[7, 8, 3]",76.6
middle,"[7, 8, 4]",76.6
middle,"[7, 8, 5]",76.6
middle,"[7, 8, 6]",76.6
middle,"[7, 8, 7]",76.6
middle,"[7, 8, 9]",76.6
middle,"[7, 8, 10]",76.6
middle,"[7, 8, 11]",76.6
middle,"[7, 8, 12]",76.6
middle,"[7, 8, 13]",76.6
middle,"[7, 8, 14]",76.6
middle,"[7, 7, 2]",75.0
middle,"[7, 7, 3]",75.0
middle,"[7, 7, 4]",75.0
middle,"[7, 7, 5]",75.0
middle,"[7, 7, 6]",75.0
middle,"[7, 7, 8]",75.0
middle,"[7, 7, 9]",75.0
middle,"[7, 7, 10]",75.0
middle,"[7, 7, 11]",75.0
middle,"[7, 7, 12]",75.0
middle,"[7, 7, 13]",75.0
middle,"[7, 7, 14]",75.0
middle,"[7, 6, 2]",73.4
middle,"[7, 6, 3]",73.4
middle,"[7, 6, 4]",73.4
middle,"[7, 6, 5]",73.4
middle,"[7, 6, 7]",73.4
middle,"[7, 6, 8]",73.4
middle,"[7, 6, 9]",73.4
middle,"[7, 6, 10]",73.4
middle,"[7, 6, 11]",73.4
middle,"[7, 6, 12]",73.4
middle,"[7, 6, 13]",73.4
middle,"[7, 6, 14]",73.4
middle,"[7, 5, 2]",71.8
middle,"[7, 5, 3]",71.8
middle,"[7, 5, 4]",71.8
middle,"[7, 5, 6]",71.8
middle,"[7, 5, 7]",71.8
middle,"[7, 5, 8]",71.8
middle,"[7, 5, 9]",71.8
middle,"[7, 5, 10]",71.8
middle,"[7, 5, 11]",71.8
middle,"[7, 5, 12]",71.8
middle,"[7, 5, 13]",71.8
middle,"[7, 5, 14]",71.8
middle,"[7, 4, 2]",70.2
middle,"[7, 4, 3]",70.2
middle,"[7, 4, 5]",70.2
middle,"[7, 4, 6]",70.2
middle,"[7, 4, 7]",70.2
middle,"[7, 4, 8]",70.2
middle,"[7, 4, 9]",70.2
middle,"[7, 4, 10]",70.2
middle,"[7, 4, 11]",70.2
middle,"[7, 4, 12]",70.2
middle,"[7, 4, 13]",70.2
middle,"[7, 4, 14]",70.2
middle,"[7, 3, 2]",68.6
middle,"[7, 3, 4]",68.6
middle,"[7, 3, 5]",68.6
middle,"[7, 3, 6]",68.6
middle,"[7, 3, 7]",68.6
middle,"[7, 3, 8]",68.6
middle,"[7, 3, 9]",68.6
middle,"[7, 3, 10]",68.6
middle,"[7, 3, 11]",68.6
middle,"[7, 3, 12]",68.6
middle,"[7, 3, 13]",68.6
middle,"[7, 3, 14]",68.6
middle,"[7, 2, 3]",67.0
middle,"[7, 2, 4]",67.0
middle,"[7, 2, 5]",67.0
middle,"[7, 2, 6]",67.0
middle,"[7, 2, 7]",67.0
middle,"[7, 2, 8]",67.0
middle,"[7, 2, 9]",67.0
middle,"[7, 2, 10]",67.0
middle,"[7, 2, 11]",67.0
middle,"[7, 2, 12]",67.0
middle,"[7, 2, 13]",67.0
middle,"[7, 2, 14]",67.0
middle,"[6, 14, 2]",50.4
middle,"[6, 14, 3]",50.4
middle,"[6, 14, 4]",50.4
middle,"[6, 14, 5]",50.4
middle,"[6, 14, 6]",50.4
middle,"[6, 14, 7]",50.4
middle,"[6, 14, 8]",50.4
middle,"[6, 14, 9]",50.4
middle,"[6, 14, 10]",50.4
middle,"[6, 14, 11]",50.4
middle,"[6, 14, 12]",50.4
middle,"[6, 14, 13]",50.4
middle,"[6, 13, 2]",48.7
middle,"[6, 13, 3]",48.7
middle,"[6, 13, 4]",48.7
middle,"[6, 13, 5]",48.7
middle,"[6, 13, 6]",48.7
middle,"[6, 13, 7]",48.7
middle,"[6, 13, 8]",48.7
middle,"[6, 13, 9]",48.7
middle,"[6, 13, 10]",48.7
middle,"[6, 13, 11]",48.7
middle,"[6, 13, 12]",48.7
middle,"[6, 12, 2]",47.0
middle,"[6, 12, 3]",47.0
middle,"[6, 12, 4]",47.0
middle,"[6, 12, 5]",47.0
middle,"[6, 12, 6]",47.0
middle,"[6, 12, 7]",47.0
middle,"[6, 12, 8]",47.0
middle,"[6, 12, 9]",47.0
middle,"[6, 12, 10]",47.0
middle,"[6, 12, 11]",47.0
middle,"[6, 11, 2]",45.3
middle,"[6, 11, 3]",45.3
middle,"[6, 11, 4]",45.3
middle,"[6, 11, 5]",45.3
middle,"[6, 11, 6]",45.3
middle,"[6, 11, 7]",45.3
middle,"[6, 11, 8]",45.3
middle,"[6, 11, 9]",45.3
middle,"[6, 11, 10]",45.3
middle,"[6, 10, 2]",43.6
middle,"[6, 10, 3]",43.6
middle,"[6, 10, 4]",43.6
middle,"[6, 10, 5]",43.6
middle,"[6, 10, 6]",43.6
middle,"[6, 10, 7]",43.6
middle,"[6, 10, 8]",43.6
middle,"[6, 10, 9]",43.6
middle,"[6, 9, 2]",41.9
middle,"[6, 9, 3]",41.9
middle,"[6, 9, 4]",41.9
middle,"[6, 9, 5]",41.9
middle,"[6, 9, 6]",41.9
middle,"[6, 9, 7]",41.9
middle,"[6, 9, 8]",41.9
middle,"[6, 8, 2]",40.2
middle,"[6, 8, 3]",40.2
middle,"[6, 8, 4]",40.2
middle,"[6, 8, 5]",40.2
middle,"[6, 8, 6]",40.2
middle,"[6, 8, 7]",40.2
middle,"[6, 7, 2]",38.5
middle,"[6, 7, 3]",38.5
middle,"[6, 7, 4]",38.5
middle,"[6, 7, 5]",38.5
middle,"[6, 7, 6]",38.5
middle,"[6, 6, 2]",36.8
middle,"[6, 6, 3]",36.8
middle,"[6, 6, 4]",36.8
middle,"[6, 6, 5]",36.8
middle,"[6, 5, 2]",35.1
middle,"[6, 5, 3]",35.1
middle,"[6, 5, 4]",35.1
middle,"[6, 4, 2]",33.4
middle,"[6, 4, 3]",33.4
middle,"[6, 3, 2]",31.7
middle,"[5, 14, 13]",18.8
middle,"[5, 14, 5]",18.8
middle,"[5, 13, 12]",17.71
middle,"[5, 12, 11]",16.62
middle,"[5, 11, 10]",15.53
middle,"[5, 10, 9]",14.44
middle,"[5, 9, 8]",13.36
middle,"[5, 8, 7]",12.27
middle,"[5, 7, 6]",11.18
middle,"[5, 6, 5]",10.09
middle,"[5, 5, 4]",9.0
middle,"[4, 14]",57.0
middle,"[4, 13]",56.0
middle,"[4, 12]",55.0
middle,"[4, 11]",54.0
middle,"[4, 10]",53.0
middle,"[4, 9]",52.0
middle,"[4, 8]",51.0
middle,"[4, 7]",50.0
middle,"[4, 6]",49.0
middle,"[4, 5]",48.0
middle,"[4, 4]",47.0
middle,"[4, 3]",46.0
middle,"[4, 2]",45.0
middle,"[3, 14, 2]",6.8
middle,"[3, 14, 3]",6.8
middle,"[3, 14, 4]",6.8
middle,"[3, 14, 5]",6.8
middle,"[3, 14, 6]",6.8
middle,"[3, 14, 7]",6.8
middle,"[3, 14, 8]",6.8
middle,"[3, 14, 9]",6.8
middle,"[3, 14, 10]",6.8
middle,"[3, 14, 11]",6.8
middle,"[3, 14, 12]",6.8
middle,"[3, 14, 13]",6.8
middle,"[3, 13, 2]",6.4
middle,"[3, 13, 3]",6.4
middle,"[3, 13, 4]",6.4
middle,"[3, 13, 5]",6.4
middle,"[3, 13, 6]",6.4
middle,"[3, 13, 7]",6.4
middle,"[3, 13, 8]",6.4
middle,"[3, 13, 9]",6.4
middle,"[3, 13, 10]",6.4
middle,"[3, 13, 11]",6.4
middle,"[3, 13, 12]",6.4
middle,"[3, 12, 2]",6.0
middle,"[3, 12, 3]",6.0
middle,"[3, 12, 4]",6.0
middle,"[3, 12, 5]",6.0
middle,"[3, 12, 6]",6.0
middle,"[3, 12, 7]",6.0
middle,"[3, 12, 8]",6.0
middle,"[3, 12, 9]",6.0
middle,"[3, 12, 10]",6.0
middle,"[3, 12, 11]",6.0
middle,"[3, 11, 2]",5.6
middle,"[3, 11, 3]",5.6
middle,"[3, 11, 4]",5.6
middle,"[3, 11, 5]",5.6
middle,"[3, 11, 6]",5.6
middle,"[3, 11, 7]",5.6
middle,"[3, 11, 8]",5.6
middle,"[3, 11, 9]",5.6
middle,"[3, 11, 10]",5.6
middle,"[3, 10, 2]",5.2
middle,"[3, 10, 3]",5.2
middle,"[3, 10, 4]",5.2
middle,"[3, 10, 5]",5.2
middle,"[3, 10, 6]",5.2
middle,"[3, 10, 7]",5.2
middle,"[3, 10, 8]",5.2
middle,"[3, 10, 9]",5.2
middle,"[3, 9, 2]",4.8
middle,"[3, 9, 3]",4.8
middle,"[3, 9, 4]",4.8
middle,"[3, 9, 5]",4.8
middle,"[3, 9, 6]",4.8
middle,"[3, 9, 7]",4.8
middle,"[3, 9, 8]",4.8
middle,"[3, 8, 2]",4.4
middle,"[3, 8, 3]",4.4
middle,"[3, 8, 4]",4.4
middle,"[3, 8, 5]",4.4
middle,"[3, 8, 6]",4.4
middle,"[3, 8, 7]",4.4
middle,"[3, 7, 2]",4.0
middle,"[3, 7, 3]",4.0
middle,"[3, 7, 4]",4.0
middle,"[3, 7, 5]",4.0
middle,"[3, 7, 6]",4.0
middle,"[3, 6, 2]",3.6
middle,"[3, 6, 3]",3.6
middle,"[3, 6, 4]",3.6
middle,"[3, 6, 5]",3.6
middle,"[3, 5, 2]",3.2
middle,"[3, 5, 3]",3.2
middle,"[3, 5, 4]",3.2
middle,"[3, 4, 2]",2.8
middle,"[3, 4, 3]",2.8
middle,"[3, 3, 2]",2.4
middle,"[2, 14, 13]",2.599
middle,"[2, 14, 12]",2.598
middle,"[2, 14, 11]",2.597
middle,"[2, 14, 10]",2.596
middle,"[2, 14, 9]",2.595
middle,"[2, 14, 8]",2.594
middle,"[2, 14, 7]",2.593
middle,"[2, 14, 6]",2.592
middle,"[2, 14, 5]",2.591
middle,"[2, 14, 4]",2.59
middle,"[2, 14, 3]",2.589
middle,"[2, 14, 2]",2.588
middle,"[2, 13, 14]",2.4
middle,"[2, 13, 12]",2.398
middle,"[2, 13, 11]",2.397
middle,"[2, 13, 10]",2.396
middle,"[2, 13, 9]",2.395
middle,"[2, 13, 8]",2.394
middle,"[2, 13, 7]",2.393
middle,"[2, 13, 6]",2.392
middle,"[2, 13, 5]",2.391
middle,"[2, 13, 4]",2.39
middle,"[2, 13, 3]",2.389
middle,"[2, 13, 2]",2.388
middle,"[2, 12, 14]",2.2
middle,"[2, 12, 13]",2.199
middle,"[2, 12, 11]",2.197
middle,"[2, 12, 10]",2.196
middle,"[2, 12, 9]",2.195
middle,"[2, 12, 8]",2.194
middle,"[2, 12, 7]",2.193
middle,"[2, 12, 6]",2.192
middle,"[2, 12, 5]",2.191
middle,"[2, 12, 4]",2.19
middle,"[2, 12, 3]",2.189
middle,"[2, 12, 2]",2.188
middle,"[2, 11, 14]",2.0
middle,"[2, 11, 13]",1.999
middle,"[2, 11, 12]",1.998
middle,"[2, 11, 10]",1.996
middle,"[2, 11, 9]",1.995
middle,"[2, 11, 8]",1.994
middle,"[2, 11, 7]",1.993
middle,"[2, 11, 6]",1.992
middle,"[2, 11, 5]",1.991
middle,"[2, 11, 4]",1.99
middle,"[2, 11, 3]",1.989
middle,"[2, 11, 2]",1.988
middle,"[2, 10, 14]",1.8
middle,"[2, 10, 13]",1.799
middle,"[2, 10, 12]",1.798
middle,"[2, 10, 11]",1.797
middle,"[2, 10, 9]",1.795
middle,"[2, 10, 8]",1.794
middle,"[2, 10, 7]",1.793
middle,"[2, 10, 6]",1.792
middle,"[2, 10, 5]",1.791
middle,"[2, 10, 4]",1.79
middle,"[2, 10, 3]",1.789
middle,"[2, 10, 2]",1.788
middle,"[2, 9, 14]",1.6
middle,"[2, 9, 13]",1.599
middle,"[2, 9, 12]",1.598
middle,"[2, 9, 11]",1.597
middle,"[2, 9, 10]",1.596
middle,"[2, 9, 8]",1.594
middle,"[2, 9, 7]",1.593
middle,"[2, 9, 6]",1.592
middle,"[2, 9, 5]",1.591
middle,"[2, 9, 4]",1.59
middle,"[2, 9, 3]",1.589
middle,"[2, 9, 2]",1.588
middle,"[2, 8, 14]",1.4
middle,"[2, 8, 13]",1.399
middle,"[2, 8, 12]",1.398
middle,"[2, 8, 11]",1.397
middle,"[2, 8, 10]",1.396
middle,"[2, 8, 9]",1.395
middle,"[2, 8, 7]",1.393
middle,"[2, 8, 6]",1.392
middle,"[2, 8, 5]",1.391
middle,"[2, 8, 4]",1.39
middle,"[2, 8, 3]",1.389
middle,"[2, 8, 2]",1.388
middle,"[2, 7, 14]",1.2
middle,"[2, 7, 13]",1.199
middle,"[2, 7, 12]",1.198
middle,"[2, 7, 11]",1.197
middle,"[2, 7, 10]",1.196
middle,"[2, 7, 9]",1.195
middle,"[2, 7, 8]",1.194
middle,"[2, 7, 6]",1.192
middle,"[2, 7, 5]",1.191
middle,"[2, 7, 4]",1.19
middle,"[2, 7, 3]",1.189
middle,"[2, 7, 2]",1.188
middle,"[2, 6, 14]",1.0
middle,"[2, 6, 13]",0.999
middle,"[2, 6, 12]",0.998
middle,"[2, 6, 11]",0.997
middle,"[2, 6, 10]",0.996
middle,"[2, 6, 9]",0.995
middle,"[2, 6, 8]",0.994
middle,"[2, 6, 7]",0.993
middle,"[2, 6, 5]",0.991
middle,"[2, 6, 4]",0.99
middle,"[2, 6, 3]",0.989
middle,"[2, 6, 2]",0.988
middle,"[2, 5, 14]",0.8
middle,"[2, 5, 13]",0.799
middle,"[2, 5, 12]",0.798
middle,"[2, 5, 11]",0.797
middle,"[2, 5, 10]",0.796
middle,"[2, 5, 9]",0.795
middle,"[2, 5, 8]",0.794
middle,"[2, 5, 7]",0.793
middle,"[2, 5, 6]",0.792
middle,"[2, 5, 4]",0.79
